grupo,n_experimentos,detectados,deteccion_%,mediana_media,mediana_max
sano_test,8,3,37.5,0.364371,0.394615
fallo_barra_rota_1_DTC_S1200,4,3,75.0,0.403386,0.443589
fallo_barra_rota_1_DTC_S1500,4,0,0.0,0.361211,0.363116
fallo_barra_rota_1_DTC_S900,4,4,100.0,0.440999,0.512841
fallo_barra_rota_1_scalar_S1200,4,3,75.0,0.393985,0.428959
fallo_barra_rota_1_scalar_S1500,4,0,0.0,0.3614,0.364624
fallo_barra_rota_1_scalar_S900,4,3,75.0,0.427743,0.491076
fallo_barra_rota_DTC_S1200,9,4,44.4,0.398064,0.489627
fallo_barra_rota_DTC_S1500,12,5,41.7,0.373757,0.418084
fallo_barra_rota_DTC_S20,1,1,100.0,0.385465,0.385465
fallo_barra_rota_DTC_S900,13,12,92.3,0.42482,0.508552
fallo_barra_rota_DTC_SSteps,5,5,100.0,0.416972,0.445765
fallo_barra_rota_DTC_STrap,7,6,85.7,0.412233,0.461609
fallo_barra_rota_grid_S1500,6,6,100.0,0.482644,0.55477
fallo_barra_rota_grid_SStart,1,0,0.0,0.343886,0.343886
fallo_barra_rota_scalar_S1200,5,0,0.0,0.359122,0.365997
fallo_barra_rota_scalar_S1500,9,2,22.2,0.360505,0.377837
fallo_barra_rota_scalar_S900,9,8,88.9,0.401555,0.464026
fallo_barra_rota_scalar_SSteps,5,5,100.0,0.413141,0.445634
fallo_barra_rota_scalar_STrap,5,5,100.0,0.399733,0.403329
fallo_rodamiento_agujero_6mm_DTC_S1200,2,0,0.0,0.356265,0.358133
fallo_rodamiento_agujero_6mm_DTC_S1500,5,4,80.0,0.538862,0.659273
fallo_rodamiento_agujero_6mm_DTC_S900,3,1,33.3,0.366425,0.395517
fallo_rodamiento_agujero_6mm_DTC_STrap,4,0,0.0,0.343886,0.343886
fallo_rodamiento_agujero_6mm_grid_S1500,4,4,100.0,0.756781,0.775317
fallo_rodamiento_agujero_6mm_grid_SStart,1,0,0.0,0.343886,0.343886
fallo_rodamiento_agujero_6mm_scalar_S1200,2,0,0.0,0.357895,0.358884
fallo_rodamiento_agujero_6mm_scalar_S1500,5,4,80.0,0.474099,0.548527
fallo_rodamiento_agujero_6mm_scalar_S900,3,1,33.3,0.371707,0.40074
fallo_rodamiento_agujero_6mm_scalar_STrap,4,0,0.0,0.343886,0.343886
fallo_rodamiento_groove_DTC_S1200,2,0,0.0,0.354101,0.358262
fallo_rodamiento_groove_DTC_S1500,5,1,20.0,0.359509,0.377744
fallo_rodamiento_groove_DTC_S900,3,1,33.3,0.370149,0.402241
fallo_rodamiento_groove_DTC_STrap,4,0,0.0,0.343886,0.343886
fallo_rodamiento_groove_grid_S1500,6,5,83.3,0.481329,0.532195
fallo_rodamiento_groove_grid_SStart,1,0,0.0,0.343886,0.343886
fallo_rodamiento_groove_scalar_S1200,2,0,0.0,0.353072,0.356582
fallo_rodamiento_groove_scalar_S1500,5,0,0.0,0.356752,0.374559
fallo_rodamiento_groove_scalar_S900,3,1,33.3,0.368299,0.398682
fallo_rodamiento_groove_scalar_STrap,4,0,0.0,0.343886,0.343886
