u_katz,u_perm_entropy,u_kurtosis,u_rms,u_pico,u_cresta,v_katz,v_perm_entropy,v_kurtosis,v_rms,v_pico,v_cresta,w_katz,w_perm_entropy,w_kurtosis,w_rms,w_pico,w_cresta,front_DE_Y_katz,front_DE_Y_perm_entropy,front_DE_Y_kurtosis,front_DE_Y_rms,front_DE_Y_pico,front_DE_Y_cresta,front_DE_Z_katz,front_DE_Z_perm_entropy,front_DE_Z_kurtosis,front_DE_Z_rms,front_DE_Z_pico,front_DE_Z_cresta,rear_NDE_Y_katz,rear_NDE_Y_perm_entropy,rear_NDE_Y_kurtosis,rear_NDE_Y_rms,rear_NDE_Y_pico,rear_NDE_Y_cresta,rear_NDE_Z_katz,rear_NDE_Z_perm_entropy,rear_NDE_Z_kurtosis,rear_NDE_Z_rms,rear_NDE_Z_pico,rear_NDE_Z_cresta,housing_katz,housing_perm_entropy,housing_kurtosis,housing_rms,housing_pico,housing_cresta
-0.3392178610628977,0.6856033992494408,-0.5151849581419123,-0.49732719479548027,-0.4663028437698817,0.47451341454742324,-0.31898602843828355,0.6963830383222093,-0.5089297881278886,-0.4971340802970799,-0.4551828096272297,0.5235425775997813,-0.3304721288831224,0.7025608505849427,-0.5263472445058831,-0.4979538048229403,-0.46569681600418955,0.4886659694717235,-0.6244076353688515,0.6838749863706796,-0.22975734619171895,-0.7952848671351566,-0.5914615770924929,0.08130550838551842,-0.5273548111665695,0.6141678949567765,-0.43248388450827874,-0.7789296735814305,-0.8086481728763175,0.19487981586621464,-0.5942650676153964,0.6501131474306838,-0.1311436034625399,-1.0356149701216093,-0.6555369230503039,0.2669334877924432,-0.588222190838042,0.6660356932446411,-0.3521607662795881,-0.7242845984252841,-0.3570605342365931,0.44065211050897646,-0.3711900248495597,0.656301271308622,-0.15504262236888744,-0.6509800746411322,-0.4199106057226661,0.3998809364210675
-0.3338383729236273,0.6847566681199797,-0.5164809449245155,-0.4941934550126838,-0.4547493241152455,0.513468911801921,-0.3313543260883648,0.6798870245136708,-0.5054126961070895,-0.495778248610508,-0.4462622626592784,0.5585089292799945,-0.3435983788425141,0.68420536486803,-0.5186448421783932,-0.49744228000965324,-0.47593798634685724,0.4382227798005889,-0.6185474189057093,0.6783349967411857,-0.4334070925902332,-0.8424906240400054,-0.5914615770924929,0.17035428898246271,-0.5351516842432533,0.6157739929626916,-0.1519658159523885,-0.8001970224020638,-0.8086481728763175,0.2697794719028253,-0.585996412663062,0.6370205774265111,-0.05672785557413575,-1.0995747839080068,-0.6858386724820538,0.36242887841197347,-0.5797868465289474,0.6646351934216483,0.05427746056206851,-0.7768105752699438,-0.23892246629384153,0.7615487452827446,-0.3571145472609165,0.6478630507412987,-0.26459202914253893,-0.6414326101016214,-0.2963007066848487,0.7875446513919006
-0.343545276708493,0.6769178833287528,-0.5111752541752907,-0.4968926061038199,-0.4804240176325642,0.40698557940204333,-0.33366852009372183,0.6753602941355614,-0.49792347973762374,-0.4956444680118331,-0.4653781573824819,0.46937218268823155,-0.3351176695080099,0.6790945432018975,-0.522335044954037,-0.4959706219662859,-0.4682572622043393,0.46738369226976034,-0.6224711577366369,0.6846418139606659,-0.19813063833611827,-0.8329509850438495,-0.395142483651434,0.42245779440810866,-0.5311539972286645,0.6149816526480459,-0.16568722273021744,-0.8433434201114829,-0.6961280848012144,0.6207003136342918,-0.6009936101210553,0.6528993593460375,-0.13849701210424814,-1.0431159195743647,-0.6290223241340392,0.3571064444366713,-0.5886681400579993,0.6646765933769264,0.05246003711556928,-0.9084030180912143,-0.7631647945227452,0.3403261946141185,-0.3759058497265759,0.6499053709065956,-0.24735517818221525,-0.6554590052218896,-0.48733423605138854,0.1832374192197742
-0.2823515199447585,0.6850786917587678,-0.5083361997544443,-0.49930701221270885,-0.48427519085077625,0.4001830217949241,-0.2795324130400764,0.6862485724653208,-0.5085040961568422,-0.4961796069562805,-0.4781218832950739,0.4128211237790001,-0.27844990279676674,0.6872912923631407,-0.5303848944950699,-0.49501608209437803,-0.4682572622043393,0.4629351850262623,-0.6171478357580885,0.6820478701886439,-0.2319724083368848,-0.816704072147495,-0.4628388908415344,0.2962560084578014,-0.520811211257093,0.613536529980808,-0.12523726939945562,-0.8390625261320462,-0.7653712319035586,0.488608382016757,-0.598610785513818,0.6427523834277883,-0.07388988390356976,-1.0298300929586932,-0.549479436446819,0.5288767975572194,-0.5796625223594397,0.6644584705444361,0.1299992307155451,-0.9302113274372212,-0.7853159037731036,0.3704023154013125,-0.35182668739161366,0.6527151716011809,-0.006211178363974678,-0.6324407025360033,-0.25135152990086,0.9075843385287071
-0.2959555386245954,0.6890818185509272,-0.516966022261382,-0.49757343390161907,-0.4881263640689883,0.37435869557609025,-0.28274946960953473,0.6849985185041829,-0.5070577415465939,-0.49533632629320257,-0.425872178857405,0.6508125743438311,-0.29253464981216093,0.687059678668425,-0.5118541966973701,-0.4990965818633034,-0.47465745601781667,0.45193417582050494,-0.6207384511983918,0.6895893339234908,-0.36553090629211643,-0.8502313054074757,-0.5711528174055404,0.21386268883804138,-0.5277234587001584,0.6159616478222839,-0.18258684284658055,-0.803155791461701,-0.8346143790059029,0.23973887574997746,-0.5938090751671399,0.6488249806828115,-0.16213622100542488,-1.0849522442677118,-0.7426550208300683,0.16385218296647425,-0.5778090891251002,0.6633201105548039,-0.2173155856970174,-0.8683780928348336,-0.7557805007430456,0.234845186628737,-0.3447686996036583,0.653913591091897,-0.19659703886482824,-0.6299991991974606,-0.3974361521779324,0.4131062434745584
-0.3017576364555373,0.7022026375935486,-0.5186885609944512,-0.4944460060836061,-0.46116815154150387,0.4849309659428042,-0.29768361443328756,0.7071417545537619,-0.4967349999407243,-0.49753623952735104,-0.4666523464611518,0.47223763419705633,-0.30493616850614996,0.7070577290896668,-0.5229816790076575,-0.4976462689763765,-0.45289581391930345,0.547288890432561,-0.6158342218124613,0.6771308013284918,-0.22843550669650806,-0.7788896583369835,-0.5711528174055404,0.07867571398959179,-0.53017518859156,0.615844354824908,-0.04851746279127408,-0.7790187281630194,-0.5489854883915183,0.5909932934030967,-0.5897772354378416,0.6445404956656687,-0.14144018361539312,-1.0178898339514502,-0.5229657465921279,0.5634032887867577,-0.5754658118286936,0.6636671177787044,-0.7246347811008097,-0.7548651698889048,-0.31275831573587637,0.5883668738555534,-0.35378817995836415,0.6461093533154985,0.06848450062355993,-0.6343293392098314,-0.4086732441030386,0.3883705994084873
-0.3271759662820782,0.7025508842037124,-0.5065466059658059,-0.4996221932621238,-0.46501932475971597,0.491164723278703,-0.3146081364249525,0.7098163428988921,-0.5102546719717648,-0.4969221449341299,-0.4551828096272297,0.5225504872137983,-0.3180870556709905,0.7099509614352763,-0.5259876025842976,-0.4986024524291874,-0.4695371780754485,0.4736753918442832,-0.6093683187354199,0.6905457525542515,-0.2923078078887072,-0.7430076269040108,-0.5169950417731499,0.08570647417684203,-0.5210205841304683,0.6136949353294417,-0.2541769681289961,-0.8066560294371447,-0.7480604970603848,0.3888848380824189,-0.5797004424825004,0.6327676173840507,-0.0825671574025853,-1.0024095945251623,-0.4623613386670545,0.6738753233069812,-0.568851341057337,0.6634911829588193,-0.07500214798907967,-0.7487463495273969,-0.3939802310463506,0.4537630701133418,-0.3555704902865299,0.6477673419079172,-0.06476359756569271,-0.6376697930147652,-0.2738259834455937,0.850326039222174
-0.41110159235071514,0.6856484775137879,-0.5206349398848402,-0.4954650796542743,-0.48299167184061054,0.388546620858307,-0.4092854164557699,0.6850045623806181,-0.5108897704325379,-0.4952555456441418,-0.4653781573824819,0.4675717368840753,-0.4215544742565298,0.6832719796703547,-0.5140551515519657,-0.5010090421939796,-0.4336940035630086,0.6536175327322311,-0.6262501108520082,0.6881155711617831,-0.36156831526668215,-0.8403094843851133,-0.6862352473980137,0.03480759040338362,-0.5456509172537493,0.6148172039249632,-0.0688065334733005,-0.8389089287592425,-0.5143652650830647,0.9006296685919368,-0.6005438079791215,0.653968794638149,-0.18996431953500462,-1.0874244471492382,-0.6403855938036421,0.4530281723582156,-0.5866486493867633,0.6675120694212202,0.0218424828631226,-0.8408774912236118,-0.5711891050492185,0.44873010771391547,-0.37117337894098007,0.6572698205714391,-0.2266110182664014,-0.6528512047647239,-0.4086732441030386,0.44375058387714744
-0.4023297101938601,0.7036674228445704,-0.5193612451218707,-0.4931162801857472,-0.4547493241152455,0.5084468277040035,-0.4089775150689309,0.6994211693702534,-0.49609000571304657,-0.4935675104853282,-0.41950001004679344,0.6718201588528937,-0.4066378457755205,0.7074099400544124,-0.5210268800530315,-0.49816308973626566,-0.42729319529159987,0.6699227535398591,-0.6166980667100678,0.6867314005750821,-0.19679283727912014,-0.7994879177352083,-0.4493002592838244,0.28042607868616476,-0.5372978729977048,0.6154975834079692,-0.2361776666682916,-0.8603347038603444,-0.7913374380331437,0.5341066011705189,-0.5831403624109459,0.6471133314710414,-0.02282929165522096,-1.0045673452364667,-0.5684188252705393,0.4094709829603629,-0.5767167501543397,0.6663245186559976,-0.29685235112403424,-0.9290578974974281,-0.9256063214283319,0.12650259410875206,-0.33171052900781084,0.6413159424722589,-0.24005964098979837,-0.6181652668679842,-0.38619879055830486,0.4155943307519314
-0.3672842112619747,0.6984350277572666,-0.514103859690793,-0.4988257699802378,-0.47400519020630577,0.445694926538324,-0.3672081748839671,0.6995585633371352,-0.5091031688662627,-0.4968577421212756,-0.48704304197165627,0.37458534384288805,-0.36576066593331047,0.7009727859606137,-0.527174250531902,-0.49565983434876615,-0.43881428150537677,0.6038575419117854,-0.6178375316357054,0.6838677351467555,-0.28809102332366177,-0.7967439535143033,-0.49668628208619736,0.21135027904882175,-0.5319864104421083,0.6128631916513125,-0.10387174137089386,-0.8598228895602125,-0.8519253215787256,0.4295124329103026,-0.5902471075090993,0.6423414023792527,-0.14138621731083528,-1.02850438396931,-0.4812998184292014,0.703028340326378,-0.5767498473486228,0.6656787218707674,-0.12989237968335193,-0.9341665619034344,-0.7114782822423289,0.5100513876305541,-0.3730043687384854,0.6603990320074984,0.014138297173429818,-0.6532090061925026,-0.38619879055830486,0.5213740504700342
