u_katz,u_perm_entropy,u_kurtosis,v_katz,v_perm_entropy,v_kurtosis,w_katz,w_perm_entropy,w_kurtosis,front_DE_Y_katz,front_DE_Y_perm_entropy,front_DE_Y_kurtosis,front_DE_Z_katz,front_DE_Z_perm_entropy,front_DE_Z_kurtosis,rear_NDE_Y_katz,rear_NDE_Y_perm_entropy,rear_NDE_Y_kurtosis,rear_NDE_Z_katz,rear_NDE_Z_perm_entropy,rear_NDE_Z_kurtosis,housing_katz,housing_perm_entropy,housing_kurtosis
-0.3392178610628977,0.6863646661803927,-0.5151849581419123,-0.31898602843828355,0.6981755403660311,-0.5089297881278886,-0.3304721288831224,0.7035087577974559,-0.5263472445058831,-0.6244076353688515,0.6859798473947645,-0.22975734619171895,-0.5273548111665695,0.6155026376175274,-0.43248388450827874,-0.5942650676153964,0.6522716249263953,-0.1311436034625399,-0.588222190838042,0.6677516722533849,-0.3521607662795881,-0.3711900248495597,0.6612876673982543,-0.15504262236888744
-0.3338383729236273,0.6855368467818777,-0.5164809449245155,-0.3313543260883648,0.6803908333904498,-0.5054126961070895,-0.3435983788425141,0.6846241723630452,-0.5186448421783932,-0.6185474189057093,0.6806384142714016,-0.4334070925902332,-0.5351516842432533,0.6178241202130128,-0.1519658159523885,-0.585996412663062,0.639770098482812,-0.05672785557413575,-0.5797868465289474,0.666699734230097,0.05427746056206851,-0.3571145472609165,0.6524177917173848,-0.26459202914253893
-0.343545276708493,0.6770445914725075,-0.5111752541752907,-0.33366852009372183,0.6752701014911004,-0.49792347973762374,-0.3351176695080099,0.6786885006242984,-0.522335044954037,-0.6224711577366369,0.6868926256725788,-0.19813063833611827,-0.5311539972286645,0.6164703924384981,-0.16568722273021744,-0.6009936101210553,0.6546276426395682,-0.13849701210424814,-0.5886681400579993,0.6665742142829935,0.05246003711556928,-0.3759058497265759,0.6552028450194097,-0.24735517818221525
-0.2823515199447585,0.6868949424815438,-0.5083361997544443,-0.2795324130400764,0.6870885341286699,-0.5085040961568422,-0.27844990279676674,0.6876770012088654,-0.5303848944950699,-0.6171478357580885,0.6835619191276243,-0.2319724083368848,-0.520811211257093,0.6147989837557585,-0.12523726939945562,-0.598610785513818,0.6446101135908374,-0.07388988390356976,-0.5796625223594397,0.6661198514702644,0.1299992307155451,-0.35182668739161366,0.658012658051539,-0.006211178363974678
-0.2959555386245954,0.6897995959215154,-0.516966022261382,-0.28274946960953473,0.6854986878613857,-0.5070577415465939,-0.29253464981216093,0.6889134912681611,-0.5118541966973701,-0.6207384511983918,0.6908624684164473,-0.36553090629211643,-0.5277234587001584,0.6170151538846537,-0.18258684284658055,-0.5938090751671399,0.6509238062364402,-0.16213622100542488,-0.5778090891251002,0.6653341955696849,-0.2173155856970174,-0.3447686996036583,0.6580053337675671,-0.19659703886482824
-0.3017576364555373,0.7027883612965276,-0.5186885609944512,-0.29768361443328756,0.7085590165116086,-0.4967349999407243,-0.30493616850614996,0.7080257424061497,-0.5229816790076575,-0.6158342218124613,0.6787456236901236,-0.22843550669650806,-0.53017518859156,0.617479174181318,-0.04851746279127408,-0.5897772354378416,0.6469879628999483,-0.14144018361539312,-0.5754658118286936,0.6656105339403012,-0.7246347811008097,-0.35378817995836415,0.6506212751923051,0.06848450062355993
-0.3271759662820782,0.7028896097604317,-0.5065466059658059,-0.3146081364249525,0.7102666905959503,-0.5102546719717648,-0.3180870556709905,0.7108188111743435,-0.5259876025842976,-0.6093683187354199,0.6916443629384058,-0.2923078078887072,-0.5210205841304683,0.6148536009067602,-0.2541769681289961,-0.5797004424825004,0.6346812103386696,-0.0825671574025853,-0.568851341057337,0.665724389424799,-0.07500214798907967,-0.3555704902865299,0.6517315426081969,-0.06476359756569271
-0.41110159235071514,0.6848700662697661,-0.5206349398848402,-0.4092854164557699,0.6841530442209728,-0.5108897704325379,-0.4215544742565298,0.683319318927619,-0.5140551515519657,-0.6262501108520082,0.689189491037115,-0.36156831526668215,-0.5456509172537493,0.6162116768391712,-0.0688065334733005,-0.6005438079791215,0.6562351481456064,-0.18996431953500462,-0.5866486493867633,0.6693357370746441,0.0218424828631226,-0.37117337894098007,0.6619250053621554,-0.2266110182664014
-0.4023297101938601,0.7030472764628153,-0.5193612451218707,-0.4089775150689309,0.6993573140704507,-0.49609000571304657,-0.4066378457755205,0.7071972832674441,-0.5210268800530315,-0.6166980667100678,0.6880492748812371,-0.19679283727912014,-0.5372978729977048,0.6168249248595409,-0.2361776666682916,-0.5831403624109459,0.6490260770564872,-0.02282929165522096,-0.5767167501543397,0.668367967577339,-0.29685235112403424,-0.33171052900781084,0.6454448068576972,-0.24005964098979837
-0.3672842112619747,0.6996923132407568,-0.514103859690793,-0.3672081748839671,0.7016122225454428,-0.5091031688662627,-0.36576066593331047,0.7019922973712994,-0.527174250531902,-0.6178375316357054,0.6853002585719705,-0.28809102332366177,-0.5319864104421083,0.6145936890856801,-0.10387174137089386,-0.5902471075090993,0.644848416566787,-0.14138621731083528,-0.5767498473486228,0.6681326333802949,-0.12989237968335193,-0.3730043687384854,0.665478027083874,0.014138297173429818
